zcyc

tradedate;tradetime;period_1.0
06.01.2014;12:21:16;6,19
08.01.2014;12:41:22;6,19
09.01.2014;18:38:19;6,07
10.01.2014;18:38:17;6,02
13.01.2014;18:37:26;6,07
14.01.2014;18:39:09;6,05
15.01.2014;18:38:21;6,05
16.01.2014;18:38:30;6,09
17.01.2014;18:39:49;6,12
20.01.2014;18:39:25;6,08
21.01.2014;18:38:47;6,12
22.01.2014;18:39:29;6,13
23.01.2014;18:38:07;6,13
24.01.2014;18:39:07;6,23
27.01.2014;18:39:32;6,25
28.01.2014;18:39:37;6,23
29.01.2014;18:38:35;6,33
30.01.2014;18:39:32;6,6
31.01.2014;18:39:46;6,54
03.02.2014;18:39:31;6,52
04.02.2014;18:39:50;6,44
05.02.2014;18:39:23;6,36
06.02.2014;18:39:19;6,35
07.02.2014;18:36:44;6,27
10.02.2014;18:37:12;6,25
11.02.2014;18:39:03;6,28
12.02.2014;18:39:46;6,29
13.02.2014;18:38:03;6,34
14.02.2014;18:32:09;6,42
17.02.2014;18:34:15;6,26
18.02.2014;18:39:17;6,3
19.02.2014;18:38:07;6,49
20.02.2014;18:38:52;6,39
21.02.2014;18:39:19;6,37
24.02.2014;18:35:23;6,38
25.02.2014;18:33:22;6,34
26.02.2014;18:35:25;6,35
27.02.2014;18:38:53;6,38
28.02.2014;18:38:35;6,35
03.03.2014;18:31:43;7,1
04.03.2014;18:34:20;6,9
05.03.2014;18:39:43;7,14
06.03.2014;18:39:02;7,25
07.03.2014;18:39:57;7,17
11.03.2014;18:39:54;7,3
12.03.2014;18:39:47;7,81
13.03.2014;18:37:46;7,44
14.03.2014;18:39:54;7,99
17.03.2014;18:38:59;7,53
18.03.2014;18:39:51;7,44
19.03.2014;18:38:38;7,29
20.03.2014;18:39:34;7,7
21.03.2014;18:35:24;7,67
24.03.2014;18:38:56;7,54
25.03.2014;18:37:06;7,45
26.03.2014;18:39:57;7,25
27.03.2014;18:38:06;7,44
28.03.2014;18:39:34;7,36
31.03.2014;18:38:14;7,18
01.04.2014;18:39:19;7,32
02.04.2014;18:39:29;7,28
03.04.2014;18:37:17;7,39
04.04.2014;18:37:48;7,31
07.04.2014;18:39:52;7,42
08.04.2014;18:39:53;7,39
09.04.2014;18:37:20;7,44
10.04.2014;18:38:54;7,36
11.04.2014;18:39:53;7,37
14.04.2014;18:37:50;7,49
15.04.2014;18:39:48;7,55
16.04.2014;18:39:45;7,48
17.04.2014;18:38:49;7,42
18.04.2014;18:38:59;7,38
21.04.2014;18:38:00;7,39
22.04.2014;18:36:36;7,38
23.04.2014;18:39:58;7,43
24.04.2014;18:38:47;7,48
25.04.2014;18:37:30;7,7
28.04.2014;18:39:25;7,7
29.04.2014;18:38:29;7,53
30.04.2014;18:35:19;7,63
02.05.2014;11:36:32;7,83
05.05.2014;18:33:29;7,88
06.05.2014;18:39:35;7,74
07.05.2014;18:39:38;7,77
08.05.2014;18:39:08;7,98
12.05.2014;18:35:36;8,04
13.05.2014;18:39:37;7,87
14.05.2014;18:35:40;7,98
15.05.2014;18:38:56;7,93
16.05.2014;18:33:18;7,99
19.05.2014;18:39:38;7,93
20.05.2014;18:39:40;8,07
21.05.2014;18:39:31;8,01
22.05.2014;18:39:10;8,0
23.05.2014;18:38:13;7,94
26.05.2014;18:38:47;7,82
27.05.2014;18:38:40;8,12
28.05.2014;18:39:38;7,97
29.05.2014;18:39:43;7,84
30.05.2014;18:39:11;7,93
02.06.2014;18:35:07;8,01
03.06.2014;18:32:06;8,01
04.06.2014;18:30:44;8,05
05.06.2014;18:39:31;8,01
06.06.2014;18:38:31;7,8
09.06.2014;18:39:35;7,87
10.06.2014;18:38:04;7,8
11.06.2014;18:38:43;7,82
16.06.2014;18:32:02;7,97
17.06.2014;18:38:35;7,98
18.06.2014;18:39:56;7,96
19.06.2014;18:37:24;7,93
20.06.2014;18:38:22;7,93
23.06.2014;18:39:12;7,94
24.06.2014;18:39:18;7,82
