zcyc

tradedate;tradetime;period_0.25
06.01.2014;12:21:16;5,92
08.01.2014;12:41:22;5,92
09.01.2014;18:38:19;5,78
10.01.2014;18:38:17;5,7
13.01.2014;18:37:26;5,81
14.01.2014;18:39:09;5,78
15.01.2014;18:38:21;5,78
16.01.2014;18:38:30;5,78
17.01.2014;18:39:49;5,84
20.01.2014;18:39:25;5,82
21.01.2014;18:38:47;5,93
22.01.2014;18:39:29;5,91
23.01.2014;18:38:07;5,93
24.01.2014;18:39:07;6,08
27.01.2014;18:39:32;6,02
28.01.2014;18:39:37;6,06
29.01.2014;18:38:35;6,16
30.01.2014;18:39:32;6,38
31.01.2014;18:39:46;6,22
03.02.2014;18:39:31;6,08
04.02.2014;18:39:50;6,02
05.02.2014;18:39:23;6,0
06.02.2014;18:39:19;6,08
07.02.2014;18:36:44;5,98
10.02.2014;18:37:12;6,01
11.02.2014;18:39:03;6,0
12.02.2014;18:39:46;6,08
13.02.2014;18:38:03;6,08
14.02.2014;18:32:09;6,02
17.02.2014;18:34:15;5,98
18.02.2014;18:39:17;6,07
19.02.2014;18:38:07;6,13
20.02.2014;18:38:52;5,86
21.02.2014;18:39:19;6,01
24.02.2014;18:35:23;5,88
25.02.2014;18:33:22;5,91
26.02.2014;18:35:25;5,75
27.02.2014;18:38:53;5,77
28.02.2014;18:38:35;5,76
03.03.2014;18:31:43;7,01
04.03.2014;18:34:20;6,73
05.03.2014;18:39:43;6,84
06.03.2014;18:39:02;6,9
07.03.2014;18:39:57;6,7
11.03.2014;18:39:54;6,49
12.03.2014;18:39:47;6,69
13.03.2014;18:37:46;6,66
14.03.2014;18:39:54;7,1
17.03.2014;18:38:59;6,1
18.03.2014;18:39:51;5,88
19.03.2014;18:38:38;6,16
20.03.2014;18:39:34;6,82
21.03.2014;18:35:24;6,79
24.03.2014;18:38:56;6,91
25.03.2014;18:37:06;6,61
26.03.2014;18:39:57;6,35
27.03.2014;18:38:06;6,59
28.03.2014;18:39:34;6,36
31.03.2014;18:38:14;6,3
01.04.2014;18:39:19;6,54
02.04.2014;18:39:29;6,18
03.04.2014;18:37:17;6,18
04.04.2014;18:37:48;5,91
07.04.2014;18:39:52;6,14
08.04.2014;18:39:53;6,09
09.04.2014;18:37:20;6,42
10.04.2014;18:38:54;6,59
11.04.2014;18:39:53;6,63
14.04.2014;18:37:50;6,53
15.04.2014;18:39:48;6,39
16.04.2014;18:39:45;6,61
17.04.2014;18:38:49;6,68
18.04.2014;18:38:59;6,58
21.04.2014;18:38:00;6,72
22.04.2014;18:36:36;6,6
23.04.2014;18:39:58;6,86
24.04.2014;18:38:47;6,86
25.04.2014;18:37:30;7,25
28.04.2014;18:39:25;7,18
29.04.2014;18:38:29;6,81
30.04.2014;18:35:19;6,81
02.05.2014;11:36:32;7,06
05.05.2014;18:33:29;7,25
06.05.2014;18:39:35;7,07
07.05.2014;18:39:38;7,23
08.05.2014;18:39:08;7,31
12.05.2014;18:35:36;7,41
13.05.2014;18:39:37;7,53
14.05.2014;18:35:40;7,36
15.05.2014;18:38:56;6,98
16.05.2014;18:33:18;6,89
19.05.2014;18:39:38;6,88
20.05.2014;18:39:40;7,14
21.05.2014;18:39:31;6,76
22.05.2014;18:39:10;6,82
23.05.2014;18:38:13;6,53
26.05.2014;18:38:47;6,48
27.05.2014;18:38:40;7,16
28.05.2014;18:39:38;6,89
29.05.2014;18:39:43;7,04
30.05.2014;18:39:11;7,18
02.06.2014;18:35:07;6,96
03.06.2014;18:32:06;7,31
04.06.2014;18:30:44;7,33
05.06.2014;18:39:31;7,39
06.06.2014;18:38:31;7,3
09.06.2014;18:39:35;7,35
10.06.2014;18:38:04;7,53
11.06.2014;18:38:43;7,73
16.06.2014;18:32:02;7,66
17.06.2014;18:38:35;7,78
18.06.2014;18:39:56;7,77
19.06.2014;18:37:24;7,77
20.06.2014;18:38:22;7,75
23.06.2014;18:39:12;7,79
24.06.2014;18:39:18;7,72
25.06.2014;18:38:19;7,64
26.06.2014;18:39:42;7,64
27.06.2014;18:36:36;7,71
30.06.2014;18:39:51;7,65
01.07.2014;18:39:53;7,64
02.07.2014;18:32:38;7,54
03.07.2014;18:34:02;7,43
04.07.2014;18:37:56;7,33
07.07.2014;18:35:43;7,27
08.07.2014;18:38:04;7,2
09.07.2014;18:39:47;7,26
10.07.2014;18:39:35;7,42
11.07.2014;18:39:54;7,51
14.07.2014;18:36:31;7,55
15.07.2014;18:39:39;7,66
16.07.2014;18:39:39;7,87
17.07.2014;18:39:33;7,91
18.07.2014;18:39:40;7,95
21.07.2014;18:39:36;8,14
22.07.2014;18:39:53;7,93
23.07.2014;18:39:50;7,98
24.07.2014;18:36:54;7,86
25.07.2014;18:39:53;7,93
28.07.2014;18:39:25;8,15
29.07.2014;18:39:44;8,36
30.07.2014;18:36:05;8,5
31.07.2014;18:39:00;8,33
01.08.2014;18:39:52;8,15
04.08.2014;18:38:42;8,18
05.08.2014;18:37:24;8,1
06.08.2014;18:38:33;8,13
07.08.2014;18:36:18;8,14
08.08.2014;18:38:25;7,85
11.08.2014;18:39:20;7,77
12.08.2014;18:39:50;7,73
13.08.2014;18:39:36;7,91
14.08.2014;18:39:04;7,84
15.08.2014;18:39:04;8,12
18.08.2014;18:29:18;7,97
19.08.2014;18:38:11;8,14
20.08.2014;18:39:19;7,97
21.08.2014;18:39:39;7,96
22.08.2014;18:39:41;7,62
25.08.2014;18:39:02;7,5
26.08.2014;18:39:58;7,54
27.08.2014;18:39:01;7,67
28.08.2014;18:38:43;7,98
29.08.2014;18:39:56;8,4
01.09.2014;18:39:37;8,38
02.09.2014;18:39:35;8,03
03.09.2014;18:39:57;7,67
04.09.2014;18:36:46;7,88
05.09.2014;18:39:03;7,78
08.09.2014;18:37:48;7,95
09.09.2014;18:39:25;7,99
10.09.2014;18:38:42;8,11
11.09.2014;18:36:28;7,92
12.09.2014;18:38:15;7,93
15.09.2014;18:37:25;8,1
16.09.2014;18:37:37;8,0
17.09.2014;18:39:39;7,87
18.09.2014;18:39:01;8,04
19.09.2014;18:39:42;8,02
22.09.2014;18:32:23;8,17
23.09.2014;18:38:33;8,13
24.09.2014;18:38:51;8,17
25.09.2014;18:38:54;8,21
26.09.2014;18:39:09;8,27
29.09.2014;18:39:02;8,13
30.09.2014;18:39:26;8,26
01.10.2014;18:38:04;8,19
02.10.2014;18:39:55;8,13
03.10.2014;18:39:13;8,05
06.10.2014;18:33:09;8,2
07.10.2014;18:39:19;8,36
08.10.2014;18:39:59;8,4
09.10.2014;18:39:40;8,31
10.10.2014;18:39:44;8,32
13.10.2014;18:39:16;8,36
14.10.2014;18:38:25;8,23
15.10.2014;18:38:22;8,2
16.10.2014;18:39:44;8,1
17.10.2014;18:39:56;8,05
20.10.2014;18:38:23;8,07
21.10.2014;18:36:02;8,02
22.10.2014;18:39:55;8,1
23.10.2014;18:37:30;8,24
24.10.2014;18:39:45;8,0
27.10.2014;18:38:22;8,03
28.10.2014;18:39:59;8,26
29.10.2014;18:38:02;8,82
30.10.2014;18:39:38;9,13
31.10.2014;18:39:06;8,77
03.11.2014;17:49:36;8,74
05.11.2014;18:38:36;9,37
06.11.2014;18:39:58;8,94
07.11.2014;18:38:31;9,19
10.11.2014;18:39:01;8,9
11.11.2014;18:39:45;9,14
12.11.2014;18:39:49;9,32
13.11.2014;18:37:18;9,38
14.11.2014;18:39:26;9,5
17.11.2014;18:38:30;9,46
18.11.2014;18:39:38;9,6
19.11.2014;18:36:04;9,69
20.11.2014;18:37:30;9,61
21.11.2014;18:39:19;9,44
24.11.2014;18:36:04;9,71
25.11.2014;18:38:05;9,81
26.11.2014;18:39:44;9,9
27.11.2014;18:39:14;9,99
28.11.2014;18:39:00;9,79
01.12.2014;18:39:15;10,32
02.12.2014;18:38:26;10,15
03.12.2014;18:39:07;10,33
04.12.2014;18:39:15;10,36
05.12.2014;18:39:18;10,35
08.12.2014;18:39:27;11,11
09.12.2014;18:38:00;11,28
10.12.2014;18:39:07;11,23
11.12.2014;18:37:41;11,01
12.12.2014;18:39:56;11,16
15.12.2014;18:37:52;11,3
16.12.2014;18:39:34;17,4
17.12.2014;18:34:53;13,51
18.12.2014;18:36:03;14,44
19.12.2014;18:39:42;15,3
22.12.2014;18:39:45;14,91
23.12.2014;18:39:00;15,28
24.12.2014;18:39:33;15,45
25.12.2014;18:39:27;14,86
26.12.2014;18:37:39;14,47
29.12.2014;18:35:22;13,57
30.12.2014;18:39:56;12,74
05.01.2015;15:52:47;13,54
06.01.2015;18:39:19;13,6
08.01.2015;18:38:33;14,12
09.01.2015;18:38:26;14,33
12.01.2015;18:34:05;16,09
13.01.2015;18:39:47;16,13
14.01.2015;18:39:32;15,3
15.01.2015;18:35:20;14,04
16.01.2015;18:32:07;13,99
19.01.2015;18:37:11;14,18
20.01.2015;18:38:14;14,94
21.01.2015;18:39:44;14,7
22.01.2015;18:39:15;14,59
23.01.2015;18:38:29;14,43
26.01.2015;18:38:31;15,17
27.01.2015;18:39:56;15,13
28.01.2015;18:39:05;15,05
29.01.2015;18:17:50;14,87
30.01.2015;18:39:28;13,94
02.02.2015;18:39:58;13,57
03.02.2015;18:39:08;13,29
04.02.2015;18:39:54;13,1
05.02.2015;18:37:32;12,77
06.02.2015;18:39:04;12,43
09.02.2015;18:39:02;12,26
10.02.2015;18:38:39;12,36
11.02.2015;18:39:04;12,41
12.02.2015;18:39:32;12,4
13.02.2015;18:39:09;12,23
16.02.2015;18:39:43;11,88
17.02.2015;18:39:45;11,9
18.02.2015;18:39:19;11,65
