zcyc

tradedate;tradetime;period_0.25
19.02.2015;18:39:50;12,1
20.02.2015;18:39:38;12,58
24.02.2015;18:38:05;13,24
25.02.2015;18:39:00;13,51
26.02.2015;18:39:33;13,56
27.02.2015;18:39:59;13,59
02.03.2015;18:36:17;13,54
03.03.2015;18:32:29;12,41
04.03.2015;18:39:19;12,77
05.03.2015;18:39:51;12,66
06.03.2015;18:39:34;12,11
10.03.2015;18:39:52;12,77
11.03.2015;18:39:53;12,95
12.03.2015;18:37:13;12,53
13.03.2015;18:38:57;12,59
16.03.2015;18:39:23;12,63
17.03.2015;18:37:39;12,9
18.03.2015;18:39:53;12,85
19.03.2015;18:36:46;12,64
20.03.2015;18:38:49;12,48
23.03.2015;18:00:06;12,52
24.03.2015;18:27:50;12,57
25.03.2015;18:37:14;11,87
26.03.2015;18:27:37;11,66
27.03.2015;18:38:01;11,71
30.03.2015;17:45:31;12,17
31.03.2015;18:38:36;12,15
01.04.2015;18:39:41;12,14
02.04.2015;18:39:06;12,09
03.04.2015;18:36:37;12,04
06.04.2015;18:38:32;12,06
07.04.2015;18:39:15;12,14
08.04.2015;18:34:01;12,09
09.04.2015;18:39:58;11,83
10.04.2015;18:38:52;11,45
13.04.2015;18:39:43;11,65
14.04.2015;18:39:26;11,66
15.04.2015;18:39:21;11,43
16.04.2015;18:38:05;11,45
17.04.2015;18:39:07;11,91
20.04.2015;18:39:11;12,03
21.04.2015;18:38:57;11,84
22.04.2015;18:38:10;11,77
23.04.2015;18:39:41;11,53
24.04.2015;18:38:56;11,56
27.04.2015;18:39:26;11,69
28.04.2015;18:33:15;11,35
29.04.2015;18:39:24;11,18
30.04.2015;18:38:35;10,53
05.05.2015;18:39:40;10,41
06.05.2015;18:38:43;10,38
07.05.2015;18:39:42;10,22
08.05.2015;18:33:09;10,06
12.05.2015;18:28:06;10,22
13.05.2015;18:33:12;10,03
14.05.2015;18:36:26;10,23
15.05.2015;18:38:40;10,38
18.05.2015;18:37:07;10,18
19.05.2015;18:39:14;10,4
20.05.2015;18:34:44;10,59
21.05.2015;18:28:05;10,38
22.05.2015;18:39:32;10,27
25.05.2015;18:37:54;10,24
26.05.2015;18:39:50;10,44
27.05.2015;18:33:30;10,44
28.05.2015;18:39:03;10,47
29.05.2015;18:37:11;10,19
01.06.2015;18:38:45;10,46
02.06.2015;18:33:19;10,5
03.06.2015;18:39:27;10,57
04.06.2015;18:37:36;10,69
05.06.2015;18:31:03;10,45
08.06.2015;18:38:32;10,58
09.06.2015;18:38:21;10,34
10.06.2015;18:35:41;10,22
11.06.2015;18:36:34;10,15
15.06.2015;18:39:24;10,24
16.06.2015;18:39:13;10,59
17.06.2015;18:34:51;10,48
18.06.2015;18:39:21;10,15
19.06.2015;18:33:26;10,22
22.06.2015;18:34:29;10,14
23.06.2015;18:39:46;10,22
24.06.2015;18:33:32;10,22
25.06.2015;18:37:29;10,14
26.06.2015;18:39:01;10,29
29.06.2015;18:38:07;10,34
30.06.2015;18:38:57;10,12
01.07.2015;18:37:29;10,14
02.07.2015;18:38:20;10,01
03.07.2015;18:39:17;9,83
06.07.2015;18:39:32;10,37
07.07.2015;18:39:18;10,18
08.07.2015;18:39:51;9,95
09.07.2015;18:39:36;9,88
10.07.2015;18:39:07;9,77
13.07.2015;18:39:46;9,6
14.07.2015;18:39:07;9,55
15.07.2015;18:39:24;9,49
16.07.2015;18:33:29;9,2
17.07.2015;18:39:18;9,48
20.07.2015;18:37:17;9,35
21.07.2015;18:38:55;9,15
22.07.2015;18:38:27;9,12
23.07.2015;18:39:47;9,3
24.07.2015;18:39:28;9,29
27.07.2015;18:38:11;9,48
28.07.2015;18:39:28;9,5
29.07.2015;18:39:20;9,04
30.07.2015;18:39:47;9,17
31.07.2015;18:38:53;9,09
03.08.2015;18:39:56;9,41
04.08.2015;18:39:28;9,25
05.08.2015;18:37:56;9,22
06.08.2015;18:39:37;9,29
07.08.2015;18:39:40;9,48
10.08.2015;18:39:13;9,37
11.08.2015;18:38:02;9,47
12.08.2015;18:37:32;9,38
13.08.2015;18:39:46;9,41
14.08.2015;18:38:43;9,55
17.08.2015;18:39:25;9,84
18.08.2015;18:38:44;9,84
19.08.2015;18:39:50;10,04
20.08.2015;18:39:28;10,13
21.08.2015;18:39:26;10,53
24.08.2015;18:34:47;10,11
25.08.2015;18:34:53;9,9
26.08.2015;18:38:10;9,75
27.08.2015;18:39:51;9,48
28.08.2015;18:38:06;9,44
31.08.2015;18:39:54;9,88
01.09.2015;18:39:39;9,71
02.09.2015;18:39:26;9,57
03.09.2015;18:39:04;9,52
04.09.2015;18:39:46;9,39
07.09.2015;18:39:49;9,41
08.09.2015;18:39:22;9,52
09.09.2015;18:39:35;9,38
10.09.2015;18:38:40;9,47
11.09.2015;18:39:52;9,46
14.09.2015;18:37:00;9,41
15.09.2015;18:36:43;9,34
16.09.2015;18:24:15;9,3
17.09.2015;18:30:08;9,26
18.09.2015;18:37:29;9,41
21.09.2015;18:39:52;9,28
22.09.2015;18:38:52;9,28
23.09.2015;18:39:15;9,29
24.09.2015;18:14:56;9,31
25.09.2015;18:24:03;9,34
28.09.2015;18:31:51;9,39
29.09.2015;18:32:09;9,4
30.09.2015;18:37:15;9,24
01.10.2015;18:33:30;9,1
02.10.2015;18:33:33;9,27
05.10.2015;18:38:50;8,85
06.10.2015;18:37:51;9,05
07.10.2015;17:45:46;8,86
08.10.2015;18:38:30;8,98
09.10.2015;18:38:48;8,71
12.10.2015;18:34:13;8,69
13.10.2015;18:17:27;9,07
14.10.2015;18:38:31;9,13
15.10.2015;18:39:51;8,96
16.10.2015;18:20:20;8,49
19.10.2015;18:33:26;8,78
20.10.2015;18:33:18;8,71
21.10.2015;18:39:51;8,79
22.10.2015;18:37:51;8,84
23.10.2015;18:39:06;8,82
26.10.2015;18:33:12;8,96
27.10.2015;18:37:03;9,18
28.10.2015;18:39:33;8,97
29.10.2015;18:39:17;8,95
30.10.2015;18:35:37;8,98
02.11.2015;18:28:56;8,98
03.11.2015;18:24:29;8,72
05.11.2015;18:36:16;8,92
06.11.2015;18:39:00;8,95
09.11.2015;18:39:08;8,93
10.11.2015;18:38:30;8,9
11.11.2015;18:38:29;8,87
12.11.2015;18:04:21;9,23
13.11.2015;18:33:13;9,18
16.11.2015;18:39:09;9,11
17.11.2015;18:39:58;8,97
18.11.2015;18:38:49;8,98
19.11.2015;18:39:31;8,82
20.11.2015;18:38:16;9,01
23.11.2015;18:35:10;8,8
24.11.2015;18:29:20;9,37
25.11.2015;18:17:15;9,55
26.11.2015;18:39:30;9,02
27.11.2015;18:39:14;9,35
30.11.2015;18:39:16;8,93
01.12.2015;18:39:58;9,31
02.12.2015;18:39:09;9,01
03.12.2015;18:39:03;8,99
04.12.2015;18:33:06;9,0
07.12.2015;18:39:55;9,16
08.12.2015;18:33:23;9,32
09.12.2015;18:39:10;9,49
10.12.2015;18:35:22;9,6
11.12.2015;18:39:01;9,79
14.12.2015;18:31:13;9,94
15.12.2015;18:39:58;9,94
16.12.2015;18:38:57;9,51
17.12.2015;18:39:03;9,73
18.12.2015;18:38:11;9,79
21.12.2015;18:37:48;9,79
22.12.2015;18:39:18;9,88
23.12.2015;18:39:21;9,71
24.12.2015;18:35:54;9,69
25.12.2015;18:38:56;9,55
28.12.2015;18:39:54;9,47
29.12.2015;18:39:50;9,37
30.12.2015;18:39:50;9,05
04.01.2016;18:38:18;8,77
05.01.2016;18:39:52;8,63
06.01.2016;18:30:27;8,65
11.01.2016;18:39:51;9,67
12.01.2016;18:39:51;9,7
13.01.2016;18:39:33;9,67
14.01.2016;18:39:49;9,54
15.01.2016;18:39:54;9,42
18.01.2016;18:39:53;9,43
19.01.2016;18:39:56;9,32
20.01.2016;18:39:57;9,38
21.01.2016;18:39:23;9,29
22.01.2016;18:39:51;8,91
25.01.2016;18:39:46;9,0
26.01.2016;18:39:51;8,86
27.01.2016;18:39:44;8,96
28.01.2016;18:39:35;8,84
29.01.2016;18:39:32;8,91
01.02.2016;18:38:47;9,03
02.02.2016;18:39:33;8,95
03.02.2016;18:39:26;8,87
04.02.2016;18:36:19;8,98
05.02.2016;18:36:45;9,01
08.02.2016;18:39:02;8,93
09.02.2016;18:39:41;8,98
10.02.2016;18:39:50;8,93
11.02.2016;18:39:01;8,94
12.02.2016;18:39:18;9,01
15.02.2016;18:38:47;8,92
16.02.2016;18:39:49;9,0
17.02.2016;18:39:34;9,17
18.02.2016;18:39:32;8,94
19.02.2016;18:39:52;8,99
20.02.2016;18:20:42;8,82
22.02.2016;18:38:38;8,79
24.02.2016;18:39:51;9,23
25.02.2016;18:39:24;9,38
26.02.2016;18:37:30;9,4
29.02.2016;18:39:59;9,15
01.03.2016;18:37:01;9,04
02.03.2016;18:37:23;9,12
03.03.2016;18:39:52;9,05
04.03.2016;18:37:23;9,08
07.03.2016;18:39:41;9,32
09.03.2016;18:39:00;9,29
10.03.2016;18:39:34;9,37
11.03.2016;18:39:07;9,35
14.03.2016;18:25:10;9,4
15.03.2016;18:39:36;9,36
16.03.2016;18:34:51;9,38
17.03.2016;18:39:53;9,36
18.03.2016;18:39:51;9,29
21.03.2016;18:39:56;9,42
22.03.2016;18:39:24;9,48
23.03.2016;18:39:40;9,67
24.03.2016;18:35:53;9,66
25.03.2016;18:38:44;9,67
28.03.2016;18:33:26;9,59
29.03.2016;18:37:20;9,78
30.03.2016;18:38:17;9,77
31.03.2016;18:39:52;9,85
01.04.2016;18:39:17;9,76
04.04.2016;18:39:55;9,73
05.04.2016;18:39:40;9,91
06.04.2016;18:39:55;9,9
07.04.2016;18:39:57;9,84
08.04.2016;18:39:49;9,78
11.04.2016;18:39:33;9,8
12.04.2016;18:36:58;9,81
13.04.2016;18:39:49;9,86
14.04.2016;18:37:20;9,99
15.04.2016;18:37:53;9,93
18.04.2016;18:39:18;10,01
19.04.2016;18:39:49;9,92
20.04.2016;18:39:56;9,91
21.04.2016;18:39:45;10,01
22.04.2016;18:39:57;10,09
25.04.2016;18:38:58;10,12
26.04.2016;18:39:47;10,14
27.04.2016;18:39:43;10,19
28.04.2016;18:39:54;9,99
29.04.2016;18:39:47;9,89
04.05.2016;18:39:56;9,95
05.05.2016;18:39:58;9,72
06.05.2016;18:39:50;9,64
10.05.2016;18:39:12;9,63
11.05.2016;18:39:47;9,62
12.05.2016;18:38:09;9,37
13.05.2016;18:39:58;9,44
16.05.2016;18:39:14;9,43
17.05.2016;18:38:52;9,45
18.05.2016;18:39:00;9,55
19.05.2016;18:39:52;9,56
20.05.2016;18:39:45;9,57
23.05.2016;18:39:45;9,53
24.05.2016;18:39:44;9,59
25.05.2016;18:38:05;9,61
26.05.2016;18:39:45;9,63
27.05.2016;18:39:53;9,74
30.05.2016;18:39:49;9,87
31.05.2016;18:39:43;10,03
01.06.2016;18:39:47;10,13
02.06.2016;18:39:56;10,13
03.06.2016;18:39:44;10,23
06.06.2016;18:39:44;10,16
07.06.2016;18:39:52;10,08
08.06.2016;18:39:56;10,13
09.06.2016;18:39:48;10,12
10.06.2016;18:39:23;9,96
14.06.2016;18:39:49;9,97
15.06.2016;18:38:56;10,26
16.06.2016;18:39:52;10,2
17.06.2016;18:39:20;10,39
20.06.2016;18:39:51;10,3
21.06.2016;18:39:56;10,19
22.06.2016;18:39:48;10,13
23.06.2016;18:39:57;10,45
24.06.2016;18:39:18;10,5
27.06.2016;18:39:58;10,18
28.06.2016;18:39:40;10,15
29.06.2016;18:39:59;10,06
30.06.2016;18:39:55;10,06
01.07.2016;18:39:49;10,14
04.07.2016;18:39:56;10,11
05.07.2016;18:39:57;10,13
06.07.2016;18:39:28;10,05
07.07.2016;18:39:56;9,92
08.07.2016;18:39:53;9,89
11.07.2016;18:39:52;9,89
12.07.2016;18:39:59;9,94
13.07.2016;18:39:01;9,97
14.07.2016;18:39:56;10,08
15.07.2016;18:39:36;10,07
18.07.2016;18:39:55;10,09
19.07.2016;18:39:58;9,98
20.07.2016;18:39:49;9,98
21.07.2016;18:39:29;9,98
22.07.2016;18:39:55;10,0
25.07.2016;18:39:47;9,99
26.07.2016;18:39:55;9,96
27.07.2016;18:39:56;9,95
28.07.2016;18:39:47;9,91
29.07.2016;18:39:57;9,85
01.08.2016;18:39:36;9,82
02.08.2016;18:39:59;9,81
03.08.2016;18:39:56;9,62
04.08.2016;18:39:51;9,51
05.08.2016;18:39:57;9,46
08.08.2016;18:39:53;9,5
09.08.2016;18:39:54;9,54
10.08.2016;18:39:57;9,53
11.08.2016;18:39:55;9,54
12.08.2016;18:39:52;9,58
15.08.2016;18:39:32;9,55
16.08.2016;18:39:47;9,51
17.08.2016;18:39:47;9,55
18.08.2016;18:39:55;9,58
19.08.2016;18:39:56;9,5
22.08.2016;18:39:54;9,47
23.08.2016;18:39:59;9,52
24.08.2016;18:39:57;9,5
25.08.2016;18:39:43;9,41
26.08.2016;18:39:21;9,26
29.08.2016;18:39:56;9,25
30.08.2016;18:39:55;9,24
31.08.2016;18:39:50;9,18
01.09.2016;18:39:46;9,14
02.09.2016;18:39:53;9,21
05.09.2016;18:39:44;9,31
06.09.2016;18:39:58;9,4
07.09.2016;18:39:58;9,37
08.09.2016;18:39:52;9,45
09.09.2016;18:39:38;9,39
12.09.2016;18:39:52;9,36
13.09.2016;18:39:59;9,27
14.09.2016;18:39:48;9,23
15.09.2016;18:38:51;9,26
16.09.2016;18:38:55;9,49
19.09.2016;18:39:49;9,5
20.09.2016;18:39:37;9,54
21.09.2016;18:39:34;9,53
22.09.2016;18:38:52;9,65
23.09.2016;18:39:39;9,8
26.09.2016;18:39:08;9,73
27.09.2016;18:39:45;9,78
28.09.2016;18:39:23;9,73
29.09.2016;18:38:44;9,68
30.09.2016;18:39:58;9,71
03.10.2016;18:39:29;9,76
04.10.2016;18:39:43;9,74
05.10.2016;18:39:27;9,79
06.10.2016;18:38:53;9,7
07.10.2016;18:39:55;9,96
10.10.2016;18:39:00;9,74
11.10.2016;18:39:47;9,81
12.10.2016;18:38:55;9,8
13.10.2016;18:39:58;9,9
14.10.2016;18:39:59;9,92
17.10.2016;18:39:58;9,97
18.10.2016;18:39:58;9,8
19.10.2016;18:39:58;9,77
20.10.2016;18:39:58;9,8
21.10.2016;18:39:58;9,91
24.10.2016;18:39:58;9,85
25.10.2016;18:37:23;9,87
26.10.2016;18:39:58;9,64
27.10.2016;18:39:59;9,56
28.10.2016;18:39:50;9,61
31.10.2016;18:39:12;9,84
01.11.2016;18:39:58;9,93
02.11.2016;18:39:59;9,93
03.11.2016;18:39:58;10,03
07.11.2016;18:39:58;9,93
08.11.2016;18:39:58;9,91
09.11.2016;18:39:58;9,62
10.11.2016;18:39:56;9,68
11.11.2016;18:39:57;9,66
14.11.2016;18:39:56;9,31
15.11.2016;18:39:58;9,38
16.11.2016;18:39:53;9,39
17.11.2016;18:39:56;9,26
18.11.2016;18:39:50;9,25
21.11.2016;18:39:58;9,3
22.11.2016;18:39:39;9,23
23.11.2016;18:39:57;9,29
24.11.2016;18:39:57;9,27
25.11.2016;18:39:58;9,17
28.11.2016;18:39:58;9,14
29.11.2016;18:39:48;9,09
30.11.2016;18:39:48;9,1
01.12.2016;18:39:59;9,16
02.12.2016;18:39:57;9,12
05.12.2016;18:39:52;9,12
06.12.2016;18:39:56;9,13
07.12.2016;18:39:55;9,12
08.12.2016;18:39:59;9,11
09.12.2016;18:39:36;9,1
12.12.2016;18:38:33;9,07
13.12.2016;18:39:52;9,05
14.12.2016;18:39:57;8,98
15.12.2016;18:39:40;8,94
16.12.2016;18:39:54;8,72
19.12.2016;18:39:55;8,9
20.12.2016;18:39:47;8,86
21.12.2016;18:39:53;8,84
22.12.2016;18:39:58;8,88
23.12.2016;18:39:56;8,83
26.12.2016;18:39:58;8,9
27.12.2016;18:39:58;8,83
28.12.2016;18:39:58;8,63
29.12.2016;18:39:58;8,5
30.12.2016;18:39:50;8,34
03.01.2017;18:39:59;8,46
04.01.2017;18:38:36;8,41
05.01.2017;18:39:36;8,5
06.01.2017;18:39:35;8,34
09.01.2017;18:39:58;8,67
10.01.2017;18:39:28;8,46
11.01.2017;18:39:52;8,61
12.01.2017;18:39:58;8,64
13.01.2017;18:39:47;8,62
16.01.2017;18:39:49;8,57
17.01.2017;18:39:52;8,6
18.01.2017;18:38:53;8,6
19.01.2017;18:39:58;8,58
20.01.2017;18:39:56;8,78
23.01.2017;18:39:59;8,76
24.01.2017;18:39:59;8,84
25.01.2017;18:39:56;8,88
26.01.2017;18:39:55;9,07
27.01.2017;18:39:50;9,07
30.01.2017;18:39:30;9,14
31.01.2017;18:39:58;9,19
01.02.2017;18:39:45;9,31
02.02.2017;18:39:51;9,23
03.02.2017;18:39:52;9,27
06.02.2017;18:39:59;9,32
07.02.2017;18:39:56;9,34
08.02.2017;18:39:49;9,36
09.02.2017;18:39:58;9,4
10.02.2017;18:39:59;9,38
13.02.2017;18:39:59;9,43
14.02.2017;17:17:14;9,41
15.02.2017;18:39:36;9,57
16.02.2017;18:39:58;9,49
17.02.2017;18:39:58;9,62
20.02.2017;18:39:51;9,55
21.02.2017;18:39:58;9,6
22.02.2017;18:39:57;9,68
24.02.2017;18:39:53;9,53
27.02.2017;18:39:55;9,72
28.02.2017;18:39:53;9,8
01.03.2017;18:39:53;9,82
02.03.2017;18:39:58;9,67
03.03.2017;18:39:57;9,64
06.03.2017;18:39:59;9,7
07.03.2017;18:38:38;9,66
09.03.2017;18:39:40;9,68
10.03.2017;18:39:59;9,67
13.03.2017;18:39:58;9,64
14.03.2017;18:39:57;9,71
15.03.2017;18:39:38;9,69
16.03.2017;18:39:59;9,64
17.03.2017;18:39:48;9,65
20.03.2017;18:37:01;9,67
21.03.2017;18:39:56;9,62
22.03.2017;18:39:15;9,73
23.03.2017;18:39:38;9,69
24.03.2017;18:39:36;9,64
27.03.2017;18:39:49;9,7
28.03.2017;18:39:58;9,68
29.03.2017;18:39:56;9,56
30.03.2017;18:39:58;9,44
31.03.2017;18:39:45;9,53
03.04.2017;18:39:49;9,43
04.04.2017;18:39:57;9,46
05.04.2017;18:39:58;9,49
06.04.2017;18:39:56;9,46
07.04.2017;18:39:59;9,37
10.04.2017;18:36:57;9,42
11.04.2017;18:39:48;9,28
