"date";"category";"value"
"2025-08-01";"Образование";198154.4373
"2025-08-01";"Операции с недвижимостью";79243.249
"2025-08-01";"Прочие услуги";18041.6459
"2025-08-01";"Сельское хозяйство";95989.4514
"2025-08-01";"Спорт и досуг";62367.7775
"2025-08-01";"Строительство";244602.7765
"2025-08-01";"Торговля";473359.7032
"2025-08-01";"Транспортировка и хранение";342416.3058
"2025-08-01";"Услуги ЖКХ";124233.0304
"2025-08-01";"Финансы и страхование";182931.376
"2025-07-01";"Административная деятельность";102340.9228
"2025-07-01";"Водоснабжение";40138.517799
"2025-07-01";"Все отрасли";4323238.086597
"2025-07-01";"Гостиницы и общепит";54700.3231
"2025-07-01";"Государственное управление и военная безопасность";316598.7604
"2025-07-01";"Деятельность в области информации и связи";281903.5443
"2025-07-01";"Добыча полезных ископаемых";175801.9397
"2025-07-01";"Здравоохранение";338221.755399
"2025-07-01";"Научная и профессиональная деятельность";325579.8575
"2025-07-01";"Обрабатывающие производства";761192.0748
"2025-07-01";"Образование";220832.6668
"2025-07-01";"Операции с недвижимостью";84258.0373
"2025-07-01";"Прочие услуги";19088.3128
"2025-07-01";"Сельское хозяйство";97074.737
"2025-07-01";"Спорт и досуг";70003.1832
"2025-07-01";"Строительство";249412.5182
"2025-07-01";"Торговля";489247.1533
"2025-07-01";"Транспортировка и хранение";351912.9916
"2025-07-01";"Услуги ЖКХ";131529.548199
"2025-07-01";"Финансы и страхование";213304.2648
"2025-06-01";"Административная деятельность";101861.1293
"2025-06-01";"Водоснабжение";40960.3469
"2025-06-01";"Все отрасли";4497287.518997
"2025-06-01";"Гостиницы и общепит";52648.868299
"2025-06-01";"Государственное управление и военная безопасность";286402.3857
"2025-06-01";"Деятельность в области информации и связи";279088.5962
"2025-06-01";"Добыча полезных ископаемых";178940.3859
"2025-06-01";"Здравоохранение";360106.2765
"2025-06-01";"Научная и профессиональная деятельность";310896.1116
"2025-06-01";"Обрабатывающие производства";738548.546799
"2025-06-01";"Образование";515270.1775
"2025-06-01";"Операции с недвижимостью";81840.4252
"2025-06-01";"Прочие услуги";18088.3197
"2025-06-01";"Сельское хозяйство";89185.196799
"2025-06-01";"Спорт и досуг";79079.4451
"2025-06-01";"Строительство";242207.4031
"2025-06-01";"Торговля";473856.7019
"2025-06-01";"Транспортировка и хранение";339692.6773
"2025-06-01";"Услуги ЖКХ";128414.5202
"2025-06-01";"Финансы и страхование";180119.6636
"2025-05-01";"Административная деятельность";103741.5724
"2025-05-01";"Водоснабжение";40824.9617
"2025-05-01";"Все отрасли";4339306.1142
"2025-05-01";"Гостиницы и общепит";53021.1084
"2025-05-01";"Государственное управление и военная безопасность";257992.7745
"2025-05-01";"Деятельность в области информации и связи";274044.6348
"2025-05-01";"Добыча полезных ископаемых";181624.7394
"2025-05-01";"Здравоохранение";344485.3702
"2025-05-01";"Научная и профессиональная деятельность";299224.5719
"2025-05-01";"Обрабатывающие производства";719727.7369
"2025-05-01";"Образование";383910.722
"2025-05-01";"Операции с недвижимостью";82048.2013
"2025-05-01";"Прочие услуги";17076.7501
"2025-05-01";"Сельское хозяйство";95029.1411
"2025-05-01";"Спорт и досуг";71849.5762
"2025-05-01";"Строительство";247682.3265
"2025-05-01";"Торговля";479126.2398
"2025-05-01";"Транспортировка и хранение";378298.9427
"2025-05-01";"Услуги ЖКХ";127857.7294
"2025-05-01";"Финансы и страхование";181662.1604
"2025-04-01";"Административная деятельность";98333.6151
"2025-04-01";"Водоснабжение";38362.491299
"2025-04-01";"Все отрасли";4257739.972396
"2025-04-01";"Гостиницы и общепит";49195.7969
"2025-04-01";"Государственное управление и военная безопасность";268123.6138
"2025-04-01";"Деятельность в области информации и связи";298305.291899
"2025-04-01";"Добыча полезных ископаемых";175989.6499
"2025-04-01";"Здравоохранение";319379.0292
"2025-04-01";"Научная и профессиональная деятельность";315346.7237
"2025-04-01";"Обрабатывающие производства";731351.9982
"2025-04-01";"Образование";319976.3678
"2025-04-01";"Операции с недвижимостью";83750.9885
"2025-04-01";"Прочие услуги";17060.8112
"2025-04-01";"Сельское хозяйство";86224.3473
"2025-04-01";"Спорт и досуг";67274.4877
"2025-04-01";"Строительство";240237.3915
"2025-04-01";"Торговля";475963.656199
"2025-04-01";"Транспортировка и хранение";335304.2548
"2025-04-01";"Услуги ЖКХ";137259.287099
"2025-04-01";"Финансы и страхование";200213.7768
"2025-03-01";"Административная деятельность";99256.6204
"2025-03-01";"Водоснабжение";37443.7822
"2025-03-01";"Все отрасли";4269162.947099
"2025-03-01";"Гостиницы и общепит";46453.125
"2025-03-01";"Государственное управление и военная безопасность";265305.588699
"2025-03-01";"Деятельность в области информации и связи";305425.3832
"2025-03-01";"Добыча полезных ископаемых";176467.8805
"2025-03-01";"Здравоохранение";322706.7888
"2025-03-01";"Научная и профессиональная деятельность";306208.4458
"2025-03-01";"Обрабатывающие производства";714746.9458
"2025-03-01";"Образование";326979.1995
"2025-03-01";"Операции с недвижимостью";82954.3917
"2025-03-01";"Прочие услуги";29675.8661
"2025-03-01";"Сельское хозяйство";82056.919
"2025-03-01";"Спорт и досуг";71470.0005
"2025-03-01";"Строительство";234826.2569
"2025-03-01";"Торговля";480242.8554
"2025-03-01";"Транспортировка и хранение";318702.5485
"2025-03-01";"Услуги ЖКХ";121666.2937
"2025-03-01";"Финансы и страхование";246494.4497
"2025-02-01";"Административная деятельность";92308.8599
"2025-02-01";"Водоснабжение";35178.3911
"2025-02-01";"Все отрасли";3909862.1148
"2025-02-01";"Гостиницы и общепит";43733.7514
"2025-02-01";"Государственное управление и военная безопасность";244187.4719
"2025-02-01";"Деятельность в области информации и связи";263173.731
"2025-02-01";"Добыча полезных ископаемых";159816.3815
"2025-02-01";"Здравоохранение";303870.8762
"2025-02-01";"Научная и профессиональная деятельность";287326.6805
"2025-02-01";"Обрабатывающие производства";671872.9936
"2025-02-01";"Образование";310115.9025
"2025-02-01";"Операции с недвижимостью";76106.1246
"2025-02-01";"Прочие услуги";16764.7776
"2025-02-01";"Сельское хозяйство";76194.1312
"2025-02-01";"Спорт и досуг";64976.7502
